Time_s,Output
2.004103165,0.000588789
2.004689332,0.000509806
2.005275498,0.000435035
2.005861665,0.000366177
2.006447831,0.000304068
2.007033998,0.000248654
2.007620164,0.000199107
2.008206331,0.000154103
2.008792497,0.00011223
2.009378664,7.24E-05
2.00996483,3.42E-05
2.010550996,-2.07E-06
2.011137163,-3.56E-05
2.011723329,-6.50E-05
2.012309496,-8.90E-05
2.012895662,-0.000106154
2.013481829,-0.00011588
2.014067995,-0.000118321
2.014654162,-0.000114747
2.015240328,-0.000107488
2.015826495,-9.96E-05
2.016412661,-9.46E-05
2.016998828,-9.57E-05
2.017584994,-0.000105597
2.018171161,-0.000126342
2.018757327,-0.000158828
2.019343494,-0.000202799
2.01992966,-0.000256831
2.020515826,-0.000318564
2.021101993,-0.000385133
2.021688159,-0.000453672
2.022274326,-0.000521737
2.022860492,-0.000587546
2.023446659,-0.000650044
2.024032825,-0.000708861
2.024618992,-0.000764193
2.025205158,-0.000816592
2.025791325,-0.000866689
2.026377491,-0.000914869
2.026963658,-0.000961036
2.027549824,-0.001004553
2.028135991,-0.001044361
2.028722157,-0.001079196
2.029308324,-0.001107817
2.02989449,-0.001129206
2.030480657,-0.001142797
2.031066823,-0.001148721
2.031652989,-0.001148007
2.032239156,-0.001142591
2.032825322,-0.001135101
2.033411489,-0.001128469
2.033997655,-0.001125536
2.034583822,-0.001128725
2.035169988,-0.001139795
2.035756155,-0.00115963
2.036342321,-0.001188059
2.036928488,-0.001223793
2.037514654,-0.001264572
2.038100821,-0.001307531
2.038686987,-0.001349705
2.039273154,-0.001388527
2.03985932,-0.001422193
2.040445487,-0.00144985
2.041031653,-0.00147163
2.041617819,-0.001488534
2.042203986,-0.001502176
2.042790152,-0.001514418
2.043376319,-0.001526957
2.043962485,-0.001540955
2.044548652,-0.001556815
2.045134818,-0.001574108
2.045720985,-0.001591635
2.046307151,-0.001607619
2.046893318,-0.00162003
2.047479484,-0.001627058
2.048065651,-0.001627618
2.048651817,-0.001621734
2.049237984,-0.001610648
2.04982415,-0.00159666
2.050410317,-0.001582794
2.050996483,-0.001572431
2.051582649,-0.001568914
2.052168816,-0.001575114
2.052754982,-0.001592911
2.053341149,-0.001622717
2.053927315,-0.001663234
2.054513482,-0.001711572
2.055099648,-0.001763747
2.055685815,-0.001815369
2.056271981,-0.001862323
2.056858148,-0.001901278
2.057444314,-0.001930026
2.058030481,-0.001947664
2.058616647,-0.00195465
2.059202814,-0.001952633
